Date,game_id,ID,Goals,Assists,Scored,Shots,PIM,PPG,PPA,PP TOI,EV TOI,Prev_Season_GP,Prev_Season_Goals,Prev_Season_Assists,Prev_Season_Shots,Prev_Season_PIM,Prev_Season_PPG,Prev_Season_PPA,Prev_Season_PP TOI,Prev_Season_EV TOI,Total_GP,Total_ID,Total_Goals,Total_Assists,Total_Shots,Total_PIM,Total_PPG,Total_PPA,Total_PP TOI,Total_EV TOI,Team_Date,Team_game_id,Team_Team,Team_Home,Team_Team Goals,Team_Team Shots,Team_Team PIM,Team_Team PPG,Team_Team PP Opportunities,Team_Team Blocked,Team_Opponent,Team_Opponent Goals,Team_Opponent Shots,Team_Opponent PIM,Team_Opponent PPG,Team_Opponent PP Opportunities,Team_Opponent Blocked,Team_Team_GP,Opponent_Date,Opponent_game_id,Opponent_Team,Opponent_Home,Opponent_Team Goals,Opponent_Team Shots,Opponent_Team PIM,Opponent_Team PPG,Opponent_Team PP Opportunities,Opponent_Team Blocked,Opponent_Opponent,Opponent_Opponent Goals,Opponent_Opponent Shots,Opponent_Opponent PIM,Opponent_Opponent PPG,Opponent_Opponent PP Opportunities,Opponent_Opponent Blocked,Opponent_Team_GP
2023-04-17,2022030131,ID8482093,0,0,False,3,0,0,0,217,623,68.0,17.0,23.0,110.0,18,2.0,4.0,5529.0,51041.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8470613,0,2,False,6,2,0,2,191,1028,82.0,10.0,44.0,203.0,42,4.0,14.0,13063.0,102183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8471669,0,0,False,0,2,0,0,0,428,71.0,21.0,24.0,141.0,14,4.0,4.0,7405.0,62689.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8476906,0,0,False,3,0,0,0,101,816,82.0,14.0,37.0,151.0,26,2.0,17.0,14008.0,90965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8474613,0,0,False,2,0,0,0,0,455,58.0,9.0,10.0,96.0,14,0.0,0.0,98.0,34062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8480829,0,0,False,2,0,0,0,86,953,66.0,12.0,17.0,81.0,37,0.0,4.0,4724.0,42824.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8473533,0,0,False,2,0,0,0,16,789,78.0,17.0,19.0,146.0,18,1.0,1.0,3302.0,64176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8476869,0,0,False,4,4,0,0,100,1047,82.0,9.0,30.0,184.0,48,0.0,0.0,607.0,91196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8476958,0,0,False,0,0,0,0,0,1143,79.0,4.0,38.0,165.0,10,1.0,6.0,6475.0,89757.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8478427,1,0,True,1,0,1,0,178,652,79.0,37.0,44.0,221.0,38,13.0,15.0,14062.0,66772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8476921,0,0,False,3,0,0,0,15,866,59.0,6.0,9.0,77.0,22,0.0,0.0,86.0,37751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8475855,0,0,False,1,0,0,0,4,813,82.0,14.0,20.0,97.0,4,1.0,1.0,1374.0,63702.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8477488,0,0,False,3,0,0,0,0,944,70.0,7.0,21.0,148.0,39,1.0,2.0,1886.0,77487.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-17,2022030131,ID8476882,0,0,False,0,0,0,0,99,660,77.0,22.0,43.0,202.0,24,9.0,22.0,13593.0,60817.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
